HDI Rank (2021),Countries,Human Development Index (HDI) ,Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita (2017 PPP $),GNI per capita rank minus HDI rank,HDI rank (2020),HDI Category,Education Index,alpha-3,region,sub-region,Lat,Lon
169,Malawi,0.512,62.9044,12.67898523,4.489695385,1465.635064,13,169,4,0.501850547,MWI,Africa,Sub-Saharan Africa,-13.5,34
170,Senegal,0.511,67.0926,8.963749886,2.937938258,3344.311825,-10,170,4,0.3469243276555556,SEN,Africa,Sub-Saharan Africa,14,-14
171,Djibouti,0.509,62.3049,7.43298,4.1,5024.993944,-32,171,4,0.3431383333333333,DJI,Africa,Sub-Saharan Africa,11.5,43
172,Sudan,0.508,65.2667,7.945187858,3.82,3575.19084,-14,171,4,0.34803299605555554,SDN,Africa,Northern Africa,15,30
173,Madagascar,0.501,64.4853,10.13499142,5.120468534,1483.520983,8,173,4,0.4522098239111111,MDG,Africa,Sub-Saharan Africa,-20,47
174,Gambia,0.5,62.083,9.418626299,4.637487411,2172.207664,-1,173,4,0.4162114220055556,GMB,Africa,Sub-Saharan Africa,13.4667,-16.5667
175,Ethiopia,0.498,64.9748,9.651071421,3.201520681,2361.069604,-5,175,4,0.3748026732833333,ETH,Africa,Sub-Saharan Africa,8,38
176,Eritrea,0.492,66.5358,8.064524628,4.8872352,1728.742667,3,176,4,0.38692241299999997,ERI,Africa,Sub-Saharan Africa,15,39
177,Guinea-Bissau,0.483,59.6523,10.61306278,3.583719,1908.24159,0,177,4,0.41426459944444444,GNB,Africa,Sub-Saharan Africa,12,-15
178,Liberia,0.481,60.7472,10.42078972,5.082,1288.74235,7,179,4,0.4588663811111111,LBR,Africa,Sub-Saharan Africa,6.5,-9.5
180,Afghanistan,0.478,61.9824,10.26384398,2.98506999,1824.190915,-2,177,4,0.3846091102222222,AFG,Asia,Southern Asia,33,65
181,Sierra Leone,0.477,60.0624,9.57339109,4.576081285,1621.512579,-1,181,4,0.4184635731111111,SLE,Africa,Sub-Saharan Africa,8.5,-11.5
182,Guinea,0.465,58.8922,9.805297465,2.202125952,2480.887182,-13,182,4,0.3457735724277778,GIN,Africa,Sub-Saharan Africa,11,-10
183,Yemen,0.455,63.7534,9.09871006,3.2,1314.270189,1,183,4,0.3594086127777778,YEM,Asia,Western Asia,15,48
184,Burkina Faso,0.449,59.2696,9.142100334,2.114962259,2117.915916,-8,185,4,0.32444597346666665,BFA,Africa,Sub-Saharan Africa,13,-2
185,Mozambique,0.446,59.3247,10.2191516,3.197641838,1198.073924,2,184,4,0.3904533834888889,MOZ,Africa,Sub-Saharan Africa,-18.25,35
186,Mali,0.428,58.9414,7.423037617,2.31,2132.629443,-11,186,4,0.2831954893611111,MLI,Africa,Sub-Saharan Africa,17,-4
187,Burundi,0.426,61.6627,10.72272189,3.129266883,731.7867086,4,187,4,0.40216228193333337,BDI,Africa,Sub-Saharan Africa,-3.5,30
188,Central African Republic,0.404,53.8947,8.040171714,4.334,966.0586107,1,188,4,0.3678047698333333,CAF,Africa,Sub-Saharan Africa,7,21
189,Niger,0.4,61.5763,6.957111988,2.116717299,1239.866936,-3,189,4,0.26381035407777775,NER,Africa,Sub-Saharan Africa,16,8
190,Chad,0.394,52.5254,8.035914334,2.57377421,1364.169417,-7,190,4,0.30901231627777775,TCD,Africa,Sub-Saharan Africa,15,19
191,South Sudan,0.385,54.9752,5.54251,5.726140022,767.787,-1,191,4,0.34482994517777776,SSD,Africa,Sub-Saharan Africa,8,30
