HDI Rank (2021),Countries,Human Development Index (HDI) ,Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita (2017 PPP $),GNI per capita rank minus HDI rank,HDI rank (2020),HDI Category,Education Index,alpha-3,region,sub-region,Lat,Lon
44,San Marino,0.853,80.8786,12.26613998,10.80146027,52653.82534,-25,46,1,0.7007747862222222,SMR,Europe,Southern Europe,43.7667,12.4167
45,Slovakia,0.848,74.9101,14.51303959,12.91141987,30690.48552,1,40,1,0.8335206509444444,SVK,Europe,Eastern Europe,48.6667,19.5
46,Hungary,0.846,74.5301,15.0336281,12.24958992,32789.01063,-2,44,1,0.8259204445555556,HUN,Europe,Eastern Europe,47,20
47,Argentina,0.842,75.3899,17.8748703,11.14726927,20925.26814,17,47,1,0.8680998173333334,ARG,Americas,Latin America and the Caribbean,-34,-64
49,Montenegro,0.832,76.3426,15.08160973,12.17648306,20838.80129,16,52,1,0.8248163722777777,MNE,Europe,Southern Europe,42,19
50,Kuwait,0.831,78.6729,15.32443332,7.328022618,52919.76137,-32,54,1,0.6699461239333333,KWT,Asia,Western Asia,29.3375,47.6581
51,Brunei Darussalam,0.829,74.6424,13.95178032,9.18,64489.53954,-42,49,1,0.6935494533333333,BRN,Asia,South-eastern Asia,4.5,114.6667
51,Brunei Darussalam,0.829,74.6424,13.95178032,9.18,64489.53954,-42,49,1,0.6935494533333333,BRN,Asia,South-eastern Asia,4.5,114.6667
52,Russian Federation,0.822,69.419,15.76636982,12.77428805,27166.30891,-1,49,1,0.8637643188888888,RUS,Europe,Eastern Europe,60,100
52,Russian Federation,0.822,69.419,15.76636982,12.77428805,27166.30891,-1,49,1,0.8637643188888888,RUS,Europe,Eastern Europe,60,100
53,Romania,0.821,74.1847,14.22990036,11.27511978,30027.29131,-4,53,1,0.7711123360000001,ROU,Europe,Eastern Europe,46,25
54,Oman,0.816,72.5406,14.57349014,11.65404034,27054.32505,-2,51,1,0.7932871818888889,OMN,Asia,Western Asia,21,57
55,Bahamas,0.812,71.5983,12.89945,12.64192386,30486.18429,-8,58,1,0.7797155175555556,BHS,Americas,Latin America and the Caribbean,24.25,-76
